Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(Kannada)-2022,Class 75: ಹಣ ಸಂಪಾಧನೆ@ವೇದ,fpm0bTbR4PI, none
JYOTISHA(Kannada)-2022,Class 76: Understanding Human Desires as per Astrology(ಮೋಹ ವಿಚಾರ),rIXm-_bYHV8, none
JYOTISHA(Kannada)-2022,Class 77: Finance (Questions & Answers),UMSelMN0o_k, none
JYOTISHA(Kannada)-2022,Class 78: Is horoscope matching necessary for marriage? ವಿವಾಹಕ್ಕೆ ಜಾತಕ ಕೂಡಿ ಬರುವುದು ಅಗತ್ಯವೇ..?,ziuuC-MlbRo, none
JYOTISHA(Kannada)-2022,Class 79: Miscellaneous Questions (Divorce & Jataka-Dashe-Gochara),MmWJ82m93Wg, none
JYOTISHA(Kannada)-2022,Class 80: Medical Astrology(Introduction),uJNSraeLZ14, none
JYOTISHA(Kannada)-2022,Class 81: Roga Sthana Vs Lagna Sthaana,4YSKaEmixtA, none
JYOTISHA(Kannada)-2022,Class 82: Planets-Signifying Disease (ಗ್ರಹಗಳು – ರೋಗ ಕಾರಕತ್ವಗಳು),9c4eDRmY5l4, none
JYOTISHA(Kannada)-2022,Class 83: Planets-Signifying Disease-2 (ಗ್ರಹಗಳು – ರೋಗ ಕಾರಕತ್ವಗಳು),DmpZoRefYbs, none
JYOTISHA(Kannada)-2022,Class 84: Planetery Combination to understand Diseases(ರೋಗನಿರ್ಣಯಕ್ಕೆ ಸೂತ್ರಗಳು),z928opvuKoI, none
JYOTISHA(Kannada)-2022,Class 85: Questions & Answers(ಪ್ರಶ್ನೋತ್ತರಗಳು),qw1dUY34c_I, none
JYOTISHA(Kannada)-2022,Class 86: Importance of Drekkana Chakra,T_IbDN78JmQ, none
JYOTISHA(Kannada)-2022,Class 87: Roga Prashne & QA,zAPd-qjAJGo, none
JYOTISHA(Kannada)-2022,Class 88: Roga Sthaana(Practice-I),NnUdRZp3Ozs, none
JYOTISHA(Kannada)-2022,Class 89: Roga Sthaana(Practice-II),SLUdeNiZgj4, none
JYOTISHA(Kannada)-2022,Class 90: Balarista Dosha & Maanasika Roga(Introduction),D3svHod9HEQ, none
JYOTISHA(Kannada)-2022,Class 91: Understanding Shatru(Enemy) Sthaana,DwwJGC3wqf4, none
JYOTISHA(Kannada)-2022,Class 92: Analysing Shatru Bhaava (ಶತೃಭಾವ ಪರಿಶೀಲನೆ),hKIk1MmWya0, none
JYOTISHA(Kannada)-2022,Class 93: Analyzing  Debts(ಸಾಲ - ಪರಿಶೀಲನೆ),BFTo56vOhM0, none
JYOTISHA(Kannada)-2022,Class 94 : Ashtama Sthaana(Part-1),uzLOa4b4bdc, none
JYOTISHA(Kannada)-2022,Class 95 : Ashtama Sthaana(Part-2),RmGfh72EUmY, none
JYOTISHA(Kannada)-2022,Class 96: Analysing 9th House(ಭಾಗ್ಯಸ್ಥಾನ)-1,3qdUh0iVq0A, none
JYOTISHA(Kannada)-2022,Class 97: Analysing 9th House(ಭಾಗ್ಯಸ್ಥಾನ)-2,2GPzQdZs0eY, none
JYOTISHA(Kannada)-2022,Class 98: Problems & Remedies(ಸಮಸ್ಯೆ-ಪರಿಹಾರ)-1,uVcJczV8lQY, none
JYOTISHA(Kannada)-2022,Class 99: Problems & Remedies(ಸಮಸ್ಯೆ-ಪರಿಹಾರ)-2,lwzjipjDeBE, none
JYOTISHA(Kannada)-2022,Class 100: Course Summary,qlhmlKJH7mM, none
JYOTISHA(Kannada)-2022,Advice to Aspiring Astrologers,Hp9mr4vNDsc, none
JYOTISHA(Kannada)-2022,Students Feedback,urDY6Fl_Ny0, none
MANA: SHASTRA(Kannada),MS02: Vidura Neethi,ojuhNT5YVp8, none
MANA: SHASTRA(Kannada),MS03: ADHYATMA VIJNAANA - Introduction,sdomJ4l_SaE, none
MANA: SHASTRA(Kannada),MS04: About MANASSU & BUDHI(Part-1),f72gyGPsf4w, none
MANA: SHASTRA(Kannada),MS05: About MANASSU & BUDHI(Part-2),r41xM4hzNBg, none
MANA: SHASTRA(Kannada),MS06: BHAGAWADGEETHA-IMPORTANCE(Part-01),wN_1JrH9BkI, none
MANA: SHASTRA(Kannada),MS07: BHAGAWADGEETHA-IMPORTANCE(Part-02),NC4dSAW2sH4, none
MANA: SHASTRA(Kannada),MS08: BHAGAWADGEETHA-PREFACE(Part-01),xA478uZYCjk, none
MANA: SHASTRA(Kannada),MS09: BHAGAWADGEETHA-PREFACE(Part-02),D6UNzOeD5k8, none
MANA: SHASTRA(Kannada),MS10: Vishaada Yoga(Drutarastra-Dhuryodhana-Arjuna)-01,Zwv5IKGcbm0, none
MANA: SHASTRA(Kannada),MS11: Duryodhana Vishaada-02,IQhRe-Uesag, none
MANA: SHASTRA(Kannada),MS12: ಶಂಖನಾದ ಕ್ರಮ ಮತ್ತು ಶಿಸ್ತು,0-1LhyJ4KyE, none
MANA: SHASTRA(Kannada),MS13: ಯುದ್ಧ ಜಿಹಾಸೆ  - ಅರ್ಜುನ ಹೇಳುವ ಕಾರಣಗಳು,e93OvRPRZ90, none
MANA: SHASTRA(Kannada),MS14: ಯುದ್ಧ ಪುಣ್ಯದ ಕೆಲಸವೋ/ಪಾಪದ ಕೆಲಸವೋ...?,5l1a5mLUoSY, none
MANA: SHASTRA(Kannada),MS15: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ),I7dapDC_UR4, none
MANA: SHASTRA(Kannada),MS16: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-2),5bjuxPtYmiQ, none
MANA: SHASTRA(Kannada),FAQ-01: ಸರ್ಪವನ್ನು ಕೊಲ್ಲುವುದು ಪಾಪವೋ...? ಗಿಡ-ಮರವನ್ನು ಕಡೆಯುವುದು ಪಾಪವಲ್ಲವೋ...? ವಿಶ್ಲೇಷಣೆ,enQyDChjr2I, none
MANA: SHASTRA(Kannada),MS17: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-3),RzOGeywruQo, none
MANA: SHASTRA(Kannada),MS18: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-4),5MpjL9bOdco, none
MANA: SHASTRA(Kannada),Class 19: Aatma-Existance-Experience,ylDDt7zzJLM, none
MANA: SHASTRA(Kannada),Class 20: VAIKUNTA EKADASHI - Upavaasa-Importance,TT8GEgcByhg, none
MANA: SHASTRA(Kannada),Class 21: How to come-out from 15 Fences..?,5zjSqUwlVJI, none
MANA: SHASTRA(Kannada),Class 22: Swadharma-KulaDharma-Sanaathana Dharma,DooLPDXVa3A, none
MANA: SHASTRA(Kannada),Class 23: Swadharma-Kartavya,1ZfsJ8QDTuI, none
MANA: SHASTRA(Kannada),Class 24: Sankya Vs Yoga,ZgsS-Od0HwU, none
MANA: SHASTRA(Kannada),Class 25: Vaidhika Yoga,gcEkuJF9NCA, none
MANA: SHASTRA(Kannada),Class 26: How to follow Veda,cekY3blMeAc, none
MANA: SHASTRA(Kannada),Class 27: Karma (Request Vs Demand),t2Ho9nr7Hrw, none
MANA: SHASTRA(Kannada),Class 28: Jnaana Yoga Vs Karma Yoga,defghULhnSA, none
MANA: SHASTRA(Kannada),Class 29: Questions & Answers,WGwuh3qvvh4, none
MANA: SHASTRA(Kannada),Class 30: Karma Yoga,HrqAGSNIUis, none
MANA: SHASTRA(Kannada),Class 31: Sthitha Prajna Lakshanagalu-1,tBnm7S6pBVY, none
MANA: SHASTRA(Kannada),Class 32: How to control desires..?,nP1j4Z1aMx4, none
MANA: SHASTRA(Kannada),PANCHANGA SHRAVANA-2024(LIVE),R7mXJCwfODc, none
